"id","name","description","travel_advice","crime_index","disaster_risk","corruption_index","health"
1,afghanistan,"Traveling to Afghanistan poses significant risks due to a variety of factors. Corruption is rampant, particularly at border crossings and in dealings with government officials. The country's healthcare system is inadequate, with few medical facilities meeting Western standards, and emergency medical services are limited. Natural disasters, such as earthquakes and floods, occur frequently and can cause extensive damage. Additionally, Afghanistan has high crime rates, particularly in urban areas, with the risk of kidnapping and violent crime remaining a concern. Travelers should exercise extreme caution, maintain a low profile, and avoid traveling alone or at night. It is strongly recommended that travelers consult with local authorities and trusted security professionals before traveling to Afghanistan.","Afghanistan faces terrorism, kidnapping, theft, and drug trafficking. It also faces earthquakes, floods, landslides, avalanches, and droughts. Healthcare access is limited and care is low quality.",0.76,0.5,0.76,0.81
2,albania,"Albania is a relatively safe country, but travelers should be aware of certain risks. Petty crime, such as pickpocketing and theft, is common in urban areas and on public transportation. Corruption is also a concern, particularly in government and law enforcement agencies. Albania's healthcare system is not well-equipped, and travelers should have adequate travel insurance to cover any medical expenses. The country is also prone to natural disasters, including earthquakes and flooding, particularly during the winter months. Finally, road conditions can be hazardous due to poorly-maintained infrastructure and reckless driving practices. Travelers should exercise caution and avoid driving at night, if possible.","Albania faces organized crime, corruption and petty crime. It also faces earthquakes, floods, landslides, and droughts. There are issues accessing healthcare and a shortage of medical supplies.",0.43,0.5,0.64,0.34
3,algeria,"Algeria presents certain risks for travelers. The country has a high threat of terrorism, particularly in the southern and eastern regions, and travelers should exercise extreme caution when visiting these areas. There is also a high risk of kidnapping, with several terrorist groups operating in the region. Crime rates are generally low, but travelers should be aware of pickpocketing and other petty crimes in urban areas. Algeria's healthcare system is not well-equipped, and medical facilities are often inadequate, especially outside of major cities. Natural disasters, such as earthquakes and floods, can occur, particularly during the rainy season from October to March. Finally, road conditions are often poor, with poorly-maintained infrastructure and erratic driving practices. Travelers should exercise caution and avoid driving at night, if possible.","Algeria faces terrorism, drug trafficking, and human trafficking. It also faces droughts, floods, and earthquakes. There are issues with access to healthcare.",0.52,0.75,0.67,0.54
4,andorra,"Andorra is a relatively safe country with a low crime rate. However, travelers should be aware of the potential for pickpocketing and other petty crimes in tourist areas, particularly during peak travel seasons. The country's healthcare system is generally of a high standard, but medical facilities are limited in rural areas. Natural disasters are rare, although winter sports enthusiasts should be aware of the risks of avalanches and other weather-related hazards in mountainous areas. Road conditions can be hazardous, especially during the winter months, due to snow and ice on the roads. Travelers should exercise caution and follow all safety guidelines, particularly when driving.",Andorra faces crimes like pickpocketing/theft. It also faces avalanches and landslides. There is also a workforce shortage in the healthcare sector here.,0.33,0.0,0.4,0.12
5,angola,"Travel to Angola presents certain risks. Crime is a significant concern, particularly in urban areas such as Luanda, where travelers should exercise caution, especially at night. Petty crime such as pickpocketing, purse-snatching, and theft from vehicles is common. Political instability and occasional outbreaks of civil unrest are also a concern, particularly in the northern and eastern regions. The healthcare system is inadequate, with limited medical facilities outside of Luanda, and medical treatment can be expensive. Angola is prone to natural disasters, such as flooding and landslides, particularly during the rainy season from October to April. Road conditions can be dangerous, with poorly-maintained infrastructure, reckless driving practices, and inadequate lighting. Travelers should exercise caution and avoid driving at night, if possible.","Angola faces robbery, carjacking, and sexual assault. It also faces droughts, floods, and desertification. Healthcare in Angola is underfunded and has inadequate infrastructure.",0.66,0.75,0.67,0.78
6,armenia,"Armenia is a relatively safe country with a low crime rate. However, travelers should be aware of the potential for petty crime such as pickpocketing and theft in tourist areas, particularly in Yerevan. Armenia's healthcare system is generally of a high standard, but medical facilities outside of major cities may be limited. Natural disasters are rare, although travelers should be aware of the risks of earthquakes, particularly in the northern region. Road conditions can be hazardous, particularly during winter months, due to snow and ice on the roads. Travelers should exercise caution and follow all safety guidelines, particularly when driving in mountainous areas.",Armenia faces petty theft and fraud. It also faces earthquakes and landslides. Healthcare in armenia is expensive and there are insufficient medical resources.,0.23,0.25,0.54,0.28
7,argentina,"Argentina is a relatively safe country for travelers, with a low crime rate. However, travelers should be aware of the potential for pickpocketing and other petty crimes in tourist areas, particularly in Buenos Aires. Argentina's healthcare system is generally of a high standard, but medical facilities can be limited in rural areas. Natural disasters such as earthquakes and floods can occur, particularly in the northwest and along the Atlantic coast. Road conditions can be hazardous due to poorly-maintained infrastructure and reckless driving practices, particularly outside of major cities. Travelers should exercise caution and follow all safety guidelines, particularly when driving in remote areas.","Argentina faces street crime, corruption, and drug trafficking. It also faces floods, droughts, and earthquakes. The public healthcare sector is underfunded and there is inequality in access to it.",0.64,1.0,0.62,0.32
8,australia,"Australia is a relatively safe country with a low crime rate. However, travelers should be aware of the potential for petty crime such as pickpocketing and theft in tourist areas. Australia's healthcare system is generally of a high standard, but medical treatment can be expensive. Natural disasters such as bushfires and floods can occur, particularly during the summer months. Road conditions are generally good, although long distances between major cities can make driving challenging. Travelers should exercise caution and follow all safety guidelines, particularly when driving in remote areas.","Australia faces assault, burglary, and drug offenses. It also faces bushfires, floods, and cyclones. The healthcare system is suffering from rising costs and sustainability.",0.43,1.0,0.25,0.08
9,austria,"Austria is a relatively safe country with a low crime rate. However, travelers should be aware of the potential for petty crime such as pickpocketing and theft in tourist areas, particularly in Vienna. Austria's healthcare system is generally of a high standard, but medical treatment can be expensive. Natural disasters are rare, although travelers should be aware of the risks of avalanches and other weather-related hazards in mountainous areas. Road conditions are generally good, although winter conditions can make driving challenging. Travelers should exercise caution and follow all safety guidelines, particularly when driving in mountainous areas.","Austria faces theft, cybercrime, and organized crime. It also faces avalanches and landslides. The healthcare system suffers from a workforce shortage and an increase in chronic disease cases.",0.26,0.0,0.29,0.05
10,azerbaijan,"Azerbaijan is generally safe for travelers. Petty crime such as pickpocketing and theft can occur in tourist areas, particularly in Baku. Azerbaijan's healthcare system is adequate, but medical facilities outside of major cities may be limited. Natural disasters such as earthquakes and floods can occur, particularly in the northern and western regions. Road conditions can be hazardous, with poorly-maintained infrastructure and erratic driving practices. Travelers should exercise caution and follow all safety guidelines, particularly when driving in remote areas.","Azerbaijan faces corruption, drug trafficking, and cybercrime. It also faces earthquakes and landslides. Healthcare infrastructure is inadequate and access to medical services is limited.",0.32,0.25,0.77,0.38
