"country_id","advice_id"
1,1
1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,15
2,1
2,5
2,6
2,7
2,10
2,15
3,1
3,2
3,3
3,6
3,15
4,4
4,5
4,7
4,8
4,10
4,15
5,3
5,4
5,5
5,6
5,15
6,1
6,4
6,5
6,7
6,15
7,1
7,4
7,5
7,6
7,15
8,4
8,5
8,6
8,9
8,15
9,4
9,5
9,7
9,8
9,15
10,1
10,5
10,7
10,15
11,4
11,5
11,9
11,15
12,2
12,5
12,9
12,15
13,2
13,3
13,5
13,6
13,7
13,9
13,15
14,4
14,5
14,6
14,9
14,15
15,3
15,5
15,6
15,15
16,2
16,4
16,5
16,6
16,15
17,4
17,5
17,6
17,9
17,15
18,3
18,5
18,6
18,15
19,4
19,5
19,6
19,7
19,15
20,4
20,5
20,6
20,7
20,15
21,3
21,5
21,6
21,7
21,15
22,4
22,5
22,11
22,15
23,5
23,6
23,7
23,15
24,5
24,6
24,7
24,15
25,1
25,4
25,5
25,6
25,15
26,2
26,3
26,5
26,6
26,15
27,5
27,6
27,7
27,15
28,3
28,5
28,6
28,15
29,2
29,5
29,6
29,7
29,15
30,4
30,5
30,6
30,12
30,15
31,5
31,11
31,15
32,5
32,6
32,15
33,2
33,5
33,11
33,15
34,1
34,4
34,5
34,7
34,15
35,1
35,5
35,6
35,15
36,5
36,6
36,7
36,15
37,4
37,5
37,9
37,15
38,5
38,6
38,7
38,15
39,1
39,4
39,5
39,7
39,15
40,4
40,5
40,6
40,15
41,1
41,4
41,5
41,6
41,15
42,4
42,5
42,6
42,9
42,15
43,4
43,5
43,12
43,15
44,4
44,5
44,6
44,7
44,15
45,3
45,5
45,6
45,7
45,15
46,4
46,5
46,6
46,15
47,2
47,5
47,11
47,15
48,5
48,6
48,11
48,15
49,5
49,7
49,9
49,15
50,1
50,5
50,6
50,15
51,2
51,5
51,11
51,15
52,1
52,5
52,7
52,15
53,5
53,6
53,7
53,15
54,5
54,11
54,15
55,5
55,6
55,15
56,5
56,6
56,15
57,5
57,6
57,15
58,5
58,6
58,9
58,15
59,5
59,12
59,15
60,2
60,5
60,6
60,15
61,5
61,6
61,7
61,15
62,3
62,5
62,6
62,15
63,1
63,5
63,7
63,15
64,2
64,5
64,6
64,15
65,5
65,6
65,15
66,5
66,6
66,15
67,1
67,5
67,12
67,15
68,5
68,6
68,9
68,15
69,1
69,5
69,7
69,15
70,5
70,6
70,15
71,5
71,6
71,15
72,5
72,6
72,7
72,15
73,5
73,7
73,9
73,15
74,5
74,6
74,7
74,15
75,5
75,7
75,9
75,15
76,5
76,6
76,7
76,15
77,5
77,8
77,14
77,15
78,2
78,5
78,6
78,7
78,15
79,1
79,2
79,5
79,7
79,14
79,15
80,5
80,13
80,15
81,2
81,5
81,13
81,15
82,5
82,6
82,15
83,2
83,5
83,11
83,15
84,1
84,5
84,6
84,7
84,14
84,15
85,5
85,6
85,7
85,9
85,15
86,1
86,5
86,9
86,14
86,15
87,5
87,6
87,7
87,15
88,1
88,5
88,7
88,8
88,15
89,2
89,5
89,6
89,7
89,15
90,1
90,5
90,6
90,7
90,15
91,5
91,11
91,13
91,15
92,1
92,5
92,7
92,15
93,5
93,6
93,7
93,15
94,5
94,6
94,15
95,1
95,2
95,5
95,7
95,15
96,5
96,6
96,7
96,15
97,5
97,6
97,7
97,15
98,2
98,5
98,6
98,13
98,15
99,5
99,7
99,8
99,15
100,5
100,6
100,15
101,5
101,6
101,15
102,5
102,6
102,9
102,15
103,5
103,6
103,15
104,5
104,6
104,7
104,15
105,5
105,9
105,15
106,2
106,5
106,6
106,15
107,5
107,11
107,15
108,3
108,5
108,11
108,15
109,5
109,6
109,9
109,15
110,1
110,5
110,6
110,9
110,14
110,15
111,5
111,6
111,7
111,15
112,1
112,5
112,15
113,1
113,5
113,7
113,15
114,1
114,2
114,5
114,6
114,15
115,5
115,6
115,9
115,15
116,5
116,6
116,7
116,9
116,15
117,5
117,6
117,15
118,1
118,5
118,6
118,7
118,15
119,5
119,6
119,15
120,1
120,5
120,7
120,14
120,15
121,5
121,6
121,7
121,9
121,15
122,5
122,11
122,15
123,2
123,5
123,6
123,7
123,15
124,5
124,6
124,7
124,15
125,5
125,6
125,7
125,15
126,5
126,7
126,8
126,15
127,5
127,9
127,13
127,15
128,1
128,2
128,5
128,6
128,7
128,15
129,2
129,5
129,6
129,15
130,5
130,6
130,7
130,15
131,1
131,5
131,7
131,14
131,15
132,5
132,6
132,15
133,1
133,5
133,6
133,7
133,15
134,5
134,9
134,14
134,15
135,5
135,6
135,15
136,5
136,6
136,7
136,12
136,15
137,5
137,6
137,9
137,15
138,5
138,11
138,13
138,15
139,5
139,6
139,7
139,15
140,1
140,5
140,7
140,12
140,15
141,5
141,6
141,7
141,15
142,5
142,7
142,8
142,15
143,5
143,11
143,13
143,15
144,5
144,6
144,11
144,15
145,1
145,5
145,7
145,15
146,5
146,9
146,15
147,5
147,6
147,7
147,15
148,5
148,6
148,12
148,15
149,5
149,6
149,7
149,15
150,1
150,5
150,6
150,15
151,1
151,5
151,6
151,15
152,2
152,5
152,6
152,9
152,15
153,5
153,6
153,12
153,15
154,5
154,6
154,9
154,15
155,5
155,6
155,15
156,5
156,6
156,12
156,15
157,5
157,6
157,7
157,9
157,15
158,5
158,6
158,13
158,15
159,5
159,6
159,7
159,15
160,5
160,6
160,12
160,15
161,5
161,7
161,8
161,15
162,5
162,13
162,15
163,1
163,3
163,5
163,7
163,9
163,15
164,1
164,5
164,7
164,15
165,1
165,5
165,6
165,15
166,3
166,5
166,6
166,7
166,15
167,5
167,6
167,7
167,15
168,3
168,5
168,6
168,15
169,5
169,6
169,9
169,15
170,2
170,5
170,6
170,15
171,1
171,2
171,3
171,5
171,7
171,15
172,3
172,5
172,13
172,15
173,1
173,5
173,6
173,9
173,12
173,15
174,2
174,5
174,6
174,7
174,15
175,3
175,5
175,6
175,7
175,15
176,3
176,5
176,6
176,7
176,15
177,3
177,5
177,11
177,13
177,15
178,5
178,6
178,15
179,3
179,5
179,13
179,15
180,1
180,5
180,9
180,15
181,5
181,6
181,7
181,15
182,5
182,6
182,7
182,15
183,1
183,2
183,5
183,6
183,13
183,15
184,5
184,6
184,15
185,5
185,6
185,15
